Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-04-20,71.67,70.47,70.33,71.64,3642,1104210
2021-04-21,71.07,71.04,69.83,70.45,3850,1163731
2021-04-22,71.75,70.95,70.69,71.23,3149,1007278
2021-04-23,71.98,71.28,70.77,71.07,3346,684189
2021-04-26,76.88,76.27,74.71,76.44,5353,1137314
2021-04-27,79.25,79.0,76.26,76.5,5757,1232943
2021-04-28,79.41,78.0,77.99,79.18,3731,710276
2021-04-29,79.04,78.69,78.02,78.02,3772,625700
2021-04-30,78.65,77.87,77.55,78.25,5972,1249953
2021-05-03,79.1,78.4,77.91,78.49,4452,733338
2021-05-04,79.54,78.72,78.38,78.38,6518,1196440
2021-05-05,79.24,78.06,77.8,78.89,3657,625538
2021-05-06,78.87,78.36,77.7,78.43,5217,1015894
2021-05-07,78.93,78.19,77.95,78.08,3930,767936
2021-05-10,79.07,78.25,78.03,78.67,4204,1458952
2021-05-11,78.09,77.62,76.86,77.79,5230,1149036
2021-05-12,77.94,76.13,76.11,77.76,4300,864300
2021-05-13,77.51,77.15,75.84,75.99,3588,560891
2021-05-14,79.415,78.88,77.43,77.65,4312,722979
2021-05-17,79.12,79.01,78.11,78.73,3570,829371
2021-05-18,79.67,78.6,78.57,79.55,4495,824468
2021-05-19,77.95,77.47,77.06,77.94,5143,3553252
2021-05-20,77.85,77.36,76.94,77.12,5940,3699708
2021-05-21,78.29,77.57,77.29,77.62,3951,836513
2021-05-24,78.32,78.13,77.27,77.6,2953,569822
2021-05-25,78.59,77.69,77.66,78.28,4972,819432
2021-05-26,78.21,77.77,77.55,77.77,4068,650873
2021-05-27,79.06,78.71,77.7,78.41,4898,1134109
2021-05-28,78.54,78.33,77.85,78.48,3557,629048
2021-06-01,79.61,78.41,78.29,79.17,3516,653660
2021-06-02,78.76,78.27,77.78,78.6,2664,662463
2021-06-03,79.42,79.14,77.72,78.25,2802,569772
2021-06-04,79.92,79.87,79.22,79.25,3416,529274
2021-06-07,80.8,79.61,79.485,80.4,3379,594146
2021-06-08,80.94,80.85,79.38,79.81,4596,793995
2021-06-09,81.18,80.75,80.33,80.79,3126,632908
2021-06-10,81.43,80.42,79.8,81.05,3424,519055
2021-06-11,80.85,80.54,79.7,80.85,3257,502194
2021-06-14,80.8,80.8,80.14,80.57,3333,425809
2021-06-15,81.26,80.99,80.47,80.97,3384,498267
2021-06-16,81.31,80.63,80.29,81.01,3576,1063821
2021-06-17,81.16,80.47,79.45,80.92,3832,736415
2021-06-18,80.09,79.5,78.93,79.76,4952,2606142
2021-06-21,81.1,81.04,79.69,80.09,4434,866244
2021-06-22,81.8,81.37,80.75,81.04,4396,692031
2021-06-23,81.64,80.82,80.74,81.64,2789,530247
2021-06-24,81.7,81.37,80.73,80.89,3036,653439
2021-06-25,81.91,81.65,81.29,81.51,4074,1243027
2021-06-28,81.72,81.66,80.75,81.6,4308,863836
2021-06-29,82.47,82.08,81.63,81.69,4028,659456
2021-06-30,82.225,81.77,81.23,81.85,3500,813080
2021-07-01,82.39,82.08,81.7,82.19,3191,610284
2021-07-02,82.93,82.66,81.85,82.19,2097,408209
2021-07-06,82.43,82.25,81.71,82.27,2703,474389
2021-07-07,84.64,84.08,82.625,82.86,2984,483928
2021-07-08,83.93,83.09,82.75,82.92,3500,530706
2021-07-09,83.99,83.82,83.23,83.84,2329,387635
2021-07-12,83.84,83.82,83.24,83.47,2796,535051
2021-07-13,84.37,83.53,83.31,84.01,3976,464616
2021-07-14,84.975,84.78,83.4,83.4,3841,657766
2021-07-15,85.42,85.23,84.5,84.5,3508,716180
2021-07-16,85.55,84.92,84.87,85.07,3583,566883
2021-07-19,84.36,84.06,83.04,84.31,5298,808618
2021-07-20,86.29,86.1,84.26,84.45,3596,623427
2021-07-21,86.91,86.81,86.16,86.25,2970,456577
2021-07-22,87.64,87.33,86.63,87.0,4103,727531
2021-07-23,88.815,88.52,87.7,88.08,3734,523104
2021-07-26,90.14,89.06,86.85,89.94,5646,894027
2021-07-27,89.11,88.22,87.52,88.96,3814,580765
2021-07-28,88.41,87.93,87.27,88.02,3479,492259
2021-07-29,88.92,88.87,87.91,88.35,4136,612240
2021-07-30,89.78,89.55,88.69,88.84,3026,588423
2021-08-02,90.67,89.93,89.68,89.68,3469,494700
2021-08-03,91.82,91.28,90.1,90.11,3921,579307
2021-08-04,91.67,90.8,90.57,91.0,3068,441411
